"FullName","Account","AccessRights"
"D:\Antoine HENRY\Bureau\1 - Introduction.pdf","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\1 - Introduction.pdf","AUTORITE NT\Utilisateurs authentifiés","Write, ReadAndExecute, Synchronize"
"D:\Antoine HENRY\Bureau\1 - Introduction.pdf","AUTORITE NT\Utilisateurs authentifiés","Modify, Synchronize"
"D:\Antoine HENRY\Bureau\1 - Introduction.pdf","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\1 - Introduction.pdf","BUILTIN\Utilisateurs","FullControl"
"D:\Antoine HENRY\Bureau\Applications à réinstaller.txt","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\Applications à réinstaller.txt","AUTORITE NT\Utilisateurs authentifiés","Modify, Synchronize"
"D:\Antoine HENRY\Bureau\Applications à réinstaller.txt","AUTORITE NT\Utilisateurs authentifiés","Write, ReadAndExecute, Synchronize"
"D:\Antoine HENRY\Bureau\Applications à réinstaller.txt","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\Applications à réinstaller.txt","BUILTIN\Utilisateurs","FullControl"
"D:\Antoine HENRY\Bureau\deleted_files.txt","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\deleted_files.txt","AUTORITE NT\Utilisateurs authentifiés","Write, ReadAndExecute, Synchronize"
"D:\Antoine HENRY\Bureau\deleted_files.txt","AUTORITE NT\Utilisateurs authentifiés","Modify, Synchronize"
"D:\Antoine HENRY\Bureau\deleted_files.txt","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\deleted_files.txt","BUILTIN\Utilisateurs","FullControl"
"D:\Antoine HENRY\Bureau\Fiches métiers MCSI TRE.docx","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\Fiches métiers MCSI TRE.docx","AUTORITE NT\Utilisateurs authentifiés","Write, ReadAndExecute, Synchronize"
"D:\Antoine HENRY\Bureau\Fiches métiers MCSI TRE.docx","AUTORITE NT\Utilisateurs authentifiés","Modify, Synchronize"
"D:\Antoine HENRY\Bureau\Fiches métiers MCSI TRE.docx","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\Fiches métiers MCSI TRE.docx","BUILTIN\Utilisateurs","FullControl"
"D:\Antoine HENRY\Bureau\GNS3-2.0.0-all-in-one.exe","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\GNS3-2.0.0-all-in-one.exe","AUTORITE NT\Utilisateurs authentifiés","Write, ReadAndExecute, Synchronize"
"D:\Antoine HENRY\Bureau\GNS3-2.0.0-all-in-one.exe","AUTORITE NT\Utilisateurs authentifiés","Modify, Synchronize"
"D:\Antoine HENRY\Bureau\GNS3-2.0.0-all-in-one.exe","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\GNS3-2.0.0-all-in-one.exe","BUILTIN\Utilisateurs","FullControl"
"D:\Antoine HENRY\Bureau\Manette PS4.lnk","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\Manette PS4.lnk","AUTORITE NT\Utilisateurs authentifiés","Write, ReadAndExecute, Synchronize"
"D:\Antoine HENRY\Bureau\Manette PS4.lnk","AUTORITE NT\Utilisateurs authentifiés","Modify, Synchronize"
"D:\Antoine HENRY\Bureau\Manette PS4.lnk","BUILTIN\Administrateurs","FullControl"
"D:\Antoine HENRY\Bureau\Manette PS4.lnk","BUILTIN\Utilisateurs","FullControl"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles","AUTORITE NT\Système","FullControl, GenericAll"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles","AUTORITE NT\Système","FullControl"
"D:\Antoine HENRY\Bureau\NTFSProjectFiles","AUTORITE NT\Système","FullControl"
